date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:04:35	296/296	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Apr%202023%2001:04:35%20GMT	http://localhost/robots.txt		(from )
09:04:41	79839/79839	---MC-	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2001:04:35%20GMT	http://localhost/bsu-open%20university/	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/index.html	(from )
09:04:43	5842/5842	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Apr%202023%2001:04:43%20GMT	https://gmpg.org/xfn/11	C:/My%20Web%20Sites/BSU-OU/gmpg.org/xfn/11.html	(from http://localhost/bsu-open%20university/)
09:04:44	204/204	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Jan%202021%2022:04:58%20GMT	http://maxcdn.bootstrapcdn.com/	C:/My%20Web%20Sites/BSU-OU/maxcdn.bootstrapcdn.com/index.html	(from http://localhost/bsu-open%20university/)
09:04:44	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2013%20Apr%202023%2001:04:43%20GMT	http://localhost/bsu-open%20university/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-admin/admin-ajax.1.delayed	(from http://localhost/bsu-open%20university/)
09:04:45	255/255	---MCZ	403	error ('Forbidden')	application/xml	date:Thu,%2013%20Apr%202023%2001:04:44%20GMT	http://use.fontawesome.com/	C:/My%20Web%20Sites/BSU-OU/use.fontawesome.com/index.html	(from http://localhost/bsu-open%20university/)
09:04:45	2010/2010	---M--	200	added ('OK')	application/rss+xml	etag:%22de260b475d41127353fc479230ea998b%22	http://localhost/bsu-open%20university/index.php/feed/	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/index.php/feed/index.html	(from http://localhost/bsu-open%20university/)
09:04:45	59016/59016	---M--	200	added ('OK')	text/css	etag:%22e688-5bca85cdbf580%22	http://localhost/bsu-open%20university/wp-includes/css/dashicons.min.css?ver=6.2	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-includes/css/dashicons.minae48.css	(from http://localhost/bsu-open%20university/)
09:04:47	12784/12784	---M--	200	added ('OK')	text/css	etag:%2231f0-5f88ea3008a59%22	http://localhost/bsu-open%20university/wp-content/plugins/menu-icons/vendor/codeinwp/icon-picker/css/types/elusive.min.css?ver=2.0	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-content/plugins/menu-icons/vendor/codeinwp/icon-picker/css/types/elusive.mind5f7.css	(from http://localhost/bsu-open%20university/)
09:04:47	857/857	---M--	200	added ('OK')	text/calendar	date:Thu,%2013%20Apr%202023%2001:04:45%20GMT	http://localhost/bsu-open%20university/index.php/events/?ical=1	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/index.php/events/indexedf3.html	(from http://localhost/bsu-open%20university/)
09:04:47	831/831	---M--	200	added ('OK')	application/rss+xml	etag:%22de260b475d41127353fc479230ea998b%22	http://localhost/bsu-open%20university/index.php/comments/feed/	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/index.php/comments/feed/index.html	(from http://localhost/bsu-open%20university/)
09:04:47	17306/17306	---M--	200	added ('OK')	text/css	etag:%22439a-5f88ea3008a59%22	http://localhost/bsu-open%20university/wp-content/plugins/menu-icons/vendor/codeinwp/icon-picker/css/types/foundation-icons.min.css?ver=3.0	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-content/plugins/menu-icons/vendor/codeinwp/icon-picker/css/types/foundation-icons.min6aec.css	(from http://localhost/bsu-open%20university/)
09:04:47	26678/26678	---M--	200	added ('OK')	text/css	etag:%226836-5f88ea300c766%22	http://localhost/bsu-open%20university/wp-content/plugins/menu-icons/vendor/codeinwp/icon-picker/css/types/genericons.min.css?ver=3.4	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-content/plugins/menu-icons/vendor/codeinwp/icon-picker/css/types/genericons.mine735.css	(from http://localhost/bsu-open%20university/)
09:04:48	815/815	---M--	200	added ('OK')	text/css	etag:%2232f-5f88ea2feba10%22	http://localhost/bsu-open%20university/wp-content/plugins/menu-icons/css/extra.min.css?ver=0.13.5	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-content/plugins/menu-icons/css/extra.min1bd9.css	(from http://localhost/bsu-open%20university/)
09:04:48	97517/97517	---M--	200	added ('OK')	text/css	etag:%2217ced-5f812f84178be%22	http://localhost/bsu-open%20university/wp-includes/css/dist/block-library/style.min.css?ver=6.2	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-includes/css/dist/block-library/style.minae48.css	(from http://localhost/bsu-open%20university/)
09:04:50	23488/23488	---M--	200	added ('OK')	text/css	etag:%225bc0-5f88ea256b0ab%22	http://localhost/bsu-open%20university/wp-content/plugins/embedpress/Gutenberg/dist/blocks.style.build.css?ver=1680666376	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-content/plugins/embedpress/Gutenberg/dist/blocks.style.build78d3.css	(from http://localhost/bsu-open%20university/)
09:04:50	291/291	---M--	200	added ('OK')	text/css	etag:%22123-5f812f8414f60%22	http://localhost/bsu-open%20university/wp-includes/css/classic-themes.min.css?ver=6.2	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-includes/css/classic-themes.minae48.css	(from http://localhost/bsu-open%20university/)
09:04:50	35471/35471	---M--	200	added ('OK')	text/css	etag:%228a8f-5f91a60ce5152%22	http://localhost/bsu-open%20university/wp-content/plugins/blog-designer//admin/css/fontawesome-all.min.css?ver=1.0	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-content/plugins/blog-designer/admin/css/fontawesome-all.min5152.css	(from http://localhost/bsu-open%20university/)
09:04:52	84807/84807	---M--	200	added ('OK')	text/css	etag:%2214b47-5f91a60cfa7f4%22	http://localhost/bsu-open%20university/wp-content/plugins/blog-designer/public/css/designer_css.css?ver=1.0	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-content/plugins/blog-designer/public/css/designer_css5152.css	(from http://localhost/bsu-open%20university/)
09:04:54	23696/23696	---M--	200	added ('OK')	text/css	etag:%225c90-5f88ea24ffb28%22	http://localhost/bsu-open%20university/wp-content/plugins/embedpress/assets/css/embedpress.css?ver=6.2	C:/My%20Web%20Sites/BSU-OU/localhost/bsu-open%20university/wp-content/plugins/embedpress/assets/css/embedpressae48.css	(from http://localhost/bsu-open%20university/)
